feature,coefficient
intercept,-0.001376833687686485
n1_pressure,0.08334584943252861
n1_dist_km,-1.1508397397237756e-06
n1_altdiff_km,0.03315467315546526
n2_pressure,0.08301713948175152
n2_dist_km,5.231517987910883e-06
n2_altdiff_km,0.03619087109696137
n3_pressure,0.0977243320348506
n3_dist_km,-8.471626154610279e-07
n3_altdiff_km,0.04325542572760448
n4_pressure,0.04675440879935422
n4_dist_km,1.8571968506825298e-06
n4_altdiff_km,0.02066634365123797
n5_pressure,0.06903738762661112
n5_dist_km,-4.325837970959451e-06
n5_altdiff_km,0.030513387766886696
n6_pressure,0.0560541589603806
n6_dist_km,-1.3705045306271896e-05
n6_altdiff_km,0.02363600392314318
n7_pressure,0.05057891488891228
n7_dist_km,2.5931062464096266e-06
n7_altdiff_km,0.021990522190698657
n8_pressure,0.041708741574309066
n8_dist_km,7.891640476355433e-06
n8_altdiff_km,0.01784163820210696
n9_pressure,0.050686795772497725
n9_dist_km,-1.2211282407782742e-05
n9_altdiff_km,0.02101575432414641
n10_pressure,0.045122695599941774
n10_dist_km,-2.148793860248799e-06
n10_altdiff_km,0.01848860428583536
n11_pressure,0.056653762556123505
n11_dist_km,4.511408915476578e-06
n11_altdiff_km,0.02425019608641
n12_pressure,0.06665480884776759
n12_dist_km,7.059351336734243e-06
n12_altdiff_km,0.028621575236119634
n13_pressure,0.04263695446463418
n13_dist_km,4.097513255349461e-06
n13_altdiff_km,0.018987894044814164
n14_pressure,0.03543095541996675
n14_dist_km,-1.4834028637944474e-06
n14_altdiff_km,0.015760435707763164
n15_pressure,0.03178546898876543
n15_dist_km,-6.007933740892479e-06
n15_altdiff_km,0.014394835965452511
n16_pressure,0.0375050995183845
n16_dist_km,-4.404298336016868e-06
n16_altdiff_km,0.016994362292370037
n17_pressure,0.03698068730717062
n17_dist_km,-1.1499041817682881e-06
n17_altdiff_km,0.01656814218836753
n18_pressure,0.02633060200715917
n18_dist_km,2.7199136192583573e-06
n18_altdiff_km,0.011916041018537507
n19_pressure,0.02209302798028664
n19_dist_km,4.107313185737482e-06
n19_altdiff_km,0.009857342315715202
n20_pressure,0.02284468163504589
n20_dist_km,2.146866173073983e-06
n20_altdiff_km,0.009937795308805532
