feature,coefficient
intercept,-4.817734949580376e-05
n1_temperature,0.2933972627193403
n1_dist_km,2.9239149861601192e-05
n1_altdiff_km,0.031641610424655575
n2_temperature,0.189667212936786
n2_dist_km,1.02488153658732e-05
n2_altdiff_km,0.019666546022600723
n3_temperature,0.13582948231328212
n3_dist_km,-1.786250113998411e-05
n3_altdiff_km,0.011922172781721583
n4_temperature,0.11160215231710041
n4_dist_km,-2.0621308687672753e-06
n4_altdiff_km,0.009725291557443217
n5_temperature,0.0772353728703013
n5_dist_km,6.9011787617719134e-06
n5_altdiff_km,0.006635936499493268
n6_temperature,0.052436517697866246
n6_dist_km,-6.260057787611972e-06
n6_altdiff_km,0.00594492581860839
n7_temperature,0.03389417059012431
n7_dist_km,-2.727636252155556e-07
n7_altdiff_km,0.0043581759280437475
n8_temperature,0.029631708454965336
n8_dist_km,-7.833812576122894e-06
n8_altdiff_km,0.004393247323962965
n9_temperature,0.01811896517095921
n9_dist_km,1.35270545924129e-06
n9_altdiff_km,0.0037237778434792753
n10_temperature,0.016468654176399172
n10_dist_km,2.459018604932212e-06
n10_altdiff_km,0.002517695026679618
n11_temperature,0.013024220697329055
n11_dist_km,-4.748951137299614e-06
n11_altdiff_km,0.0019785175224122944
n12_temperature,0.011224130104643648
n12_dist_km,-4.363539683524403e-06
n12_altdiff_km,0.000825944896204897
n13_temperature,0.0077814980572355925
n13_dist_km,-2.3838674401880974e-06
n13_altdiff_km,0.0008252092512878842
n14_temperature,0.0024617227882183213
n14_dist_km,4.516630675730854e-06
n14_altdiff_km,-0.000558812021497375
n15_temperature,0.0035640113382640727
n15_dist_km,-1.6005037029281215e-05
n15_altdiff_km,-6.297441253980113e-05
n16_temperature,0.005167545184320038
n16_dist_km,-9.951740395182668e-07
n16_altdiff_km,-0.00011305574224250136
n17_temperature,0.005394674069640044
n17_dist_km,1.6932220422940923e-05
n17_altdiff_km,-0.0005959851394238143
n18_temperature,0.0008839196175596472
n18_dist_km,5.520877114393722e-06
n18_altdiff_km,-0.0014209669770542022
n19_temperature,-0.0022913284924129325
n19_dist_km,5.460412483903915e-06
n19_altdiff_km,-0.001817796358935762
n20_temperature,-0.004403322460995719
n20_dist_km,-8.6349440364628e-06
n20_altdiff_km,-0.0011103534473305282
